	variable	description	type	value
0	params	Parameters	page	
1	section_input_params	Parameters	section	
2	inputData	Select input data:	inputtable	
3	textCol	Select text column:	columnselector	
4	docId	Select ID column:	columnselector	
5	copyVarList	Select additional columns to copy over:	columnselector	
6	section_prompts	Prompts	section	
7	systemPrompt	Provide system prompt:	textarea	
8	text_system_prompt		text	Use the system prompt to provide broad instructions to the LLM such as role, task description and response specification.
9	userPrompt	Provide user prompt:	textarea	
10	text_user_prompt		text	Use the user prompt to provide specific instructions on the task to perform.  Use tags like {Question}, {Context} etc. to refer to the context provided.
11	userExample	Provide illustrative example(s):	textarea	
12	text_user_example		text	Use the user example to provide 0, 1, or more illustrative examples of context and desired response from the LLM. Tag examples as Example: and Answer:.
13	section_output_specs	Output specification	section	
14	temperature	Select temperature for output:	numstepper	
15	text_temperature		text	Use the temperature control to govern how the LLM generates its response based on next word prediction.
16	outputTable	Provide output table:	outputtable	
17	config	Configuration	page	
18	section_gen_model	Text generation model	section	
19	genModelDeployment	Provide name of your Azure OpenAI generation model deployment:	textfield	
20	section_azure_openai	Azure OpenAI service:	section	
21	azureKeyLocation	Provide path to your Azure OpenAI key:	path	
22	text_key_details		text	Ensure this key is located in a file saved in a secure folder.
23	azureOpenAIEndpoint	Provide URL for Azure OpenAI service endpoint:	textfield	
24	azureRegion	Provide region for Azure OpenAI service	textfield	
25	openAIVersion	OpenAI API Version	textfield	
26	about	About	page	
27	about_description		text	LLM - Azure OpenAI In-context Learning==============================================This custom step helps you interact with a Large Language Model (LLM) calling an [Azure OpenAI](https://microsoftlearning.github.io/mslearn-openai/Instructions/Exercises/01-get-started-azure-openai.html) service to process simple instructions on specified input data. It uses an approach called In-context learning which uses provided examples to perform a task.  If no example is provided, then the LLM simply uses the provided context.  This is useful for cases where a call to an LLM does not require prior search, filter or query of data sources (such as what Retrieval Augmented Generation provides) . Run inside a SAS session, this custom step takes either a SAS dataset or a CAS table as input and returns a SAS dataset (or CAS table) as output, with the response added as a new variable.
28	section_prereqs	Prerequisites	section	
29	text_prereqs		text	1. Python is available to the SAS Viya Compute session.  2. Python packages to be installed:   i.  openai: https://pypi.org/project/openai/  ii.   pandas: https://pypi.org/project/pandas/  3. Viya 4 environment version 2025.01 or later 4. Valid Azure OpenAI service with large language models deployed.  Refer here for instructions: https://learn.microsoft.com/en-us/azure/ai-services/openai/quickstart?tabs=command-line%2Cpython-new&pivots=programming-language-studio
30	section_assumptions	Assumptions	section	
31	text_assumptions		text	Current assumptions for this initial versions (future versions may improve upon the same):1. Users  choose either a SAS dataset or Cloud Analytics Services (CAS) table as their input 2. User has already configured Azure OpenAI to deploy both an embedding function and LLM service, or knows the deployment names.
32	about_parameters	Parameters	section	
33	parameters_input	Input parameters	section	
34	input_parameters_text		text	1. Input Data (input port, required): attach either a SAS dataset or a CAS table to the same.2. Text column (column selector, required): select one column containing text to serve as context3. ID column (column selector, required): select an ID column4. System prompt (text area, required, boilerplate default): Provide a system prompt which is used to provide broad instructions about persona, range of tasks and response specification for LLM5. User prompt (text area, required, boilerplate default): Provide a user prompt which specifies the task to perform6. Illustrative example (text area, optional): Provide an example of task and response to help the LLM understand how to process instructions.
35	parameters_output_specs	Output specifications	section	
